source,target,value,provincia
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
Budget,Matt Duchene,8000000,NSH
Budget,Logan Couture,8000000,SJS
Budget,Brent Burns,8000000,SJS
Budget,Thomas Chabot,8000000,OTT
Budget,Victor Hedman,7875000,TBL
Budget,Shea Weber,7857143,MTL
Budget,Evgeny Kuznetsov,7800000,WSH
Budget,Jared Spurgeon,7575000,MIN
Budget,Zach Parise,7538461,MIN
Budget,Ryan Suter,7538461,MIN
Budget,Connor McDavid,12500000,EDM
Budget,Artemi Panarin,11642857,NYR
Budget,Auston Matthews,11634000,TOR
Budget,Erik Karlsson,11500000,SJS
Budget,Drew Doughty,11000000,LAK
Budget,John Tavares,11000000,TOR
Budget,Mitchell Marner,10893000,TOR
Budget,Patrick Kane,10500000,CHI
Budget,Jonathan Toews,10500000,CHI
Budget,Carey Price,10500000,MTL
Budget,Anze Kopitar,10000000,LAK
Budget,Sergei Bobrovsky,10000000,FLA
Budget,Jack Eichel,10000000,BUF
Budget,Tyler Seguin,9850000,DAL
Budget,Alex Ovechkin,9538462,WSH
Budget,Mark Stone,9500000,VGK
Budget,Evgeni Malkin,9500000,PIT
Budget,Nikita Kucherov,9500000,TBL
Budget,Andrei Vasilevskiy,9500000,TBL
Budget,Jamie Benn,9500000,DAL
Budget,Mikko Rantanen,9250000,COL
Budget,Nicklas Bäckström,9200000,WSH
Budget,Roman Josi,9059000,NSH
Budget,P.K. Subban,9000000,NJD
Budget,Jeff Skinner,9000000,BUF
Budget,Alex Pietrangelo,8800000,VGK
Budget,Sidney Crosby,8700000,PIT
Budget,Steven Stamkos,8500000,TBL
Budget,Leon Draisaitl,8500000,EDM
Budget,Sebastian Aho,8454000,CAR
Budget,Claude Giroux,8275000,PHI
Budget,Ryan Getzlaf,8250000,ANA
Budget,Blake Wheeler,8250000,WPG
Budget,Oliver Ekman-Larsson,8250000,ARI
Budget,Jakub Voracek,8250000,PHI
Budget,Phil Kessel,8000000,ARI
Budget,Jacob Trouba,8000000,NYR
Budget,Taylor Hall,8000000,BUF
Budget,Ryan Johansen,8000000,NSH
Budget,John Carlson,8000000,WSH
